subset_size,features,n_pca_comp,seed,R2_train,R2_test
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,2,0.9999999999984643,0.43175109833192576
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,3,0.9999999999983356,0.3384365351370942
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,4,0.9999999999975939,0.6690483994473052
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,5,0.9999999999982276,0.6615750340290234
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,6,0.8073320839554561,0.5353974485339654
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,7,0.9999999999989366,0.6652873184956892
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",8,8,0.7489118865541813,0.5410984601382827
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",9,0,0.8955603046209327,0.8066763657331382
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",9,1,0.9999999999947713,0.14820512715951598
17,"num_cycle_nitrogens,num_all_cycle_atoms,num_nitrogens,num_cycle_oxygens,num_electroneg_1_3_neighbors,num_oxygens,num_carbon_aromatic_rings,Net partial charge,num_cycle_carbons,num_sulfurs,pore_median,mean_ring_planarity,pore_avg,num_hba,ElectronegativitySum,num_nitrogen_aromatic_rings,num_cycle_sulfurs",9,2,0.9999999999977538,0.6716875438520283
